D/AlarmManagerService(   61): Kernel timezone updated to 0 minutes west of GMT
D/inject  (  426): [+] Remote shellcode address: 4521ec00
D/inject  (  426): [+] Process Detach: 10
D/inject  (  401): Hello ARM! I'm parameter1324! pid:401
D/inject  (  401): The Handle of libhook_open: b000d2b0
D/inject  (  401): find it pre 0
D/inject  (  401): find it 8060109c
D/inject  (  401): [+] aaaaaaa do_hook function is invoked 
D/inject  (  401): [+] open addr: 0xafd17111. New addr 0x80600f60
D/inject  (  401): [+] just for test 
D/inject  (  401): [+] set ok 
D/inject  (  401): [+] Get the persist.sys.test  bbbbbbbb
D/inject  (  401): [+] just for test print old_open address 0xafd17111
D/inject  (  401): [+] just for test print new_open address 0x80600f60
I/DEBUG   (   31): *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** ***
I/DEBUG   (   31): Build fingerprint: 'generic/sdk/generic:2.3.3/GRI34/101070:eng/test-keys'
I/DEBUG   (   31): pid: 401, tid: 401  >>> cn.wps.moffice_eng <<<
I/DEBUG   (   31): signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 00000000
I/DEBUG   (   31):  r0 00000000  r1 805041e0  r2 80504538  r3 dea00048
I/DEBUG   (   31):  r4 805041e0  r5 8060109c  r6 00000000  r7 00000107
I/DEBUG   (   31):  r8 805041e0  r9 4214ce24  10 4214ce10  fp 42de8bb8
I/DEBUG   (   31):  ip af90e118  sp 4521ebb8  lr af9060cf  pc 80502430  cpsr 60000010
I/DEBUG   (   31):          #00  pc 00002430  /dev/libhello.so
I/DEBUG   (   31):          #01  lr af9060cf  /system/lib/libcutils.so
I/DEBUG   (   31): 
I/DEBUG   (   31): code around pc:
I/DEBUG   (   31): 80502410 e1a01006 e1a00006 e59f84e8 e12fff35 
I/DEBUG   (   31): 80502420 e59f24e4 e08f8008 e1a01008 e08f2002 
I/DEBUG   (   31): 80502430 e5963000 e3a00003 ebfffc9d e59f54cc 
I/DEBUG   (   31): 80502440 e59f24cc e5963000 e1a01008 e08f2002 
I/DEBUG   (   31): 80502450 e3a00003 e08f5005 ebfffc95 e1a01005 
I/DEBUG   (   31): 
I/DEBUG   (   31): code around lr:
I/DEBUG   (   31): af9060ac 1c28d10a 22801c21 f7fd2300 2800e8f0 
I/DEBUG   (   31): af9060bc 2400dbed d0012880 42442001 f7fc1c28 
I/DEBUG   (   31): af9060cc 1c20ef90 46c0bd70 00006115 4d19b570 
I/DEBUG   (   31): af9060dc 49191c0c 1c06447d b0a25868 93216803 
I/DEBUG   (   31): af9060ec d01b2e00 d1012c00 447c4c14 f7fc1c30 
I/DEBUG   (   31): 
I/DEBUG   (   31): stack:
I/DEBUG   (   31):     4521eb78  00000000  
I/DEBUG   (   31):     4521eb7c  00000000  
I/DEBUG   (   31):     4521eb80  00000000  
I/DEBUG   (   31):     4521eb84  00000000  
I/DEBUG   (   31):     4521eb88  00000000  
I/DEBUG   (   31):     4521eb8c  00000000  
I/DEBUG   (   31):     4521eb90  00000000  
I/DEBUG   (   31):     4521eb94  00000000  
I/DEBUG   (   31):     4521eb98  00000000  
I/DEBUG   (   31):     4521eb9c  dea00048  
I/DEBUG   (   31):     4521eba0  805041e0  /dev/libhello.so
I/DEBUG   (   31):     4521eba4  8060109c  /dev/libhook_open.so
I/DEBUG   (   31):     4521eba8  00000000  
I/DEBUG   (   31):     4521ebac  00000107  
I/DEBUG   (   31):     4521ebb0  df002777  
I/DEBUG   (   31):     4521ebb4  e3a070ad  
I/DEBUG   (   31): #00 4521ebb8  00000191  
I/DEBUG   (   31):     4521ebbc  80500114  /dev/libhello.so
I/DEBUG   (   31):     4521ebc0  00000000  
I/DEBUG   (   31):     4521ebc4  00000191  
I/DEBUG   (   31):     4521ebc8  80502354  /dev/libhello.so
I/DEBUG   (   31):     4521ebcc  80500000  /dev/libhello.so
I/DEBUG   (   31):     4521ebd0  00002354  
I/DEBUG   (   31):     4521ebd4  00000107  
I/DEBUG   (   31):     4521ebd8  bef75450  
I/DEBUG   (   31):     4521ebdc  b000d198  
I/DEBUG   (   31):     4521ebe0  00000003  
I/DEBUG   (   31):     4521ebe4  430f8fc9  /data/dalvik-cache/system@framework@framework.jar@classes.dex
I/DEBUG   (   31):     4521ebe8  00000107  
I/DEBUG   (   31):     4521ebec  bef75450  
I/DEBUG   (   31):     4521ebf0  4214ce24  
I/DEBUG   (   31):     4521ebf4  4214ce10  
I/DEBUG   (   31):     4521ebf8  42de8bb8  /data/dalvik-cache/system@framework@framework.jar@classes.dex
I/DEBUG   (   31):     4521ebfc  4521ec34  
I/BootReceiver(   61): Copying /data/tombstones/tombstone_03 to DropBox (SYSTEM_TOMBSTONE)
I/DEBUG   (   31): debuggerd committing suicide to free the zombie!
I/DEBUG   (  427): debuggerd: Feb  3 2011 14:45:34
D/dalvikvm(   61): GC_FOR_MALLOC freed 717K, 47% free 4756K/8967K, external 3125K/3903K, paused 62ms
D/Zygote  (   33): Process 401 terminated by signal (11)
I/ActivityManager(   61): Process cn.wps.moffice_eng (pid 401) has died.
I/WindowManager(   61): WIN DEATH: Window{40716bd0 cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager paused=false}
W/InputManagerService(   61): Got RemoteException sending setActive(false) notification to pid 401 uid 10037
D/SntpClient(   61): request time failed: java.net.SocketException: Address family not supported by protocol
D/inject  (  435): [+] The pid of cn.wps.moffice_eng: -1
D/inject  (  435): [+] Injecting process: -1
I/ActivityManager(   61): Starting: Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=cn.wps.moffice_eng/cn.wps.moffice.documentmanager.PreStartActivity } from pid 144
I/ActivityManager(   61): Start proc cn.wps.moffice_eng for activity cn.wps.moffice_eng/cn.wps.moffice.documentmanager.PreStartActivity: pid=436 uid=10037 gids={3003, 1015}
D/dalvikvm(   33): GC_EXPLICIT freed 12K, 53% free 2538K/5379K, external 1625K/2137K, paused 76ms
D/dalvikvm(   33): GC_EXPLICIT freed <1K, 53% free 2538K/5379K, external 1625K/2137K, paused 68ms
D/dalvikvm(   33): GC_EXPLICIT freed <1K, 53% free 2538K/5379K, external 1625K/2137K, paused 88ms
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/dalvikvm(  436): Could not find method cn.wps.moffice.documentmanager.PreStartActivity.getActionBar, referenced from method cn.wps.moffice.documentmanager.PreStartActivity.setDisplayShowCustomEnabled
W/dalvikvm(  436): VFY: unable to resolve virtual method 11013: Lcn/wps/moffice/documentmanager/PreStartActivity;.getActionBar ()Landroid/app/ActionBar;
D/dalvikvm(  436): VFY: replacing opcode 0x6e at 0x0006
D/dalvikvm(  436): VFY: dead code 0x0009-000e in Lcn/wps/moffice/documentmanager/PreStartActivity;.setDisplayShowCustomEnabled (Z)V
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/ActivityManager(   61): Starting: Intent { cmp=cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager } from pid 436
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GC_EXTERNAL_ALLOC freed 640K, 50% free 3331K/6599K, external 2129K/2137K, paused 54ms
D/dalvikvm(  436): GC_EXTERNAL_ALLOC freed 46K, 49% free 3382K/6599K, external 2611K/2673K, paused 44ms
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/dalvikvm(  436): Failed resolving Lcn/wps/moffice/common/beans/k$1; interface 540 'Landroid/nfc/NfcAdapter$OnNdefPushCompleteCallback;'
W/dalvikvm(  436): Link of class 'Lcn/wps/moffice/common/beans/k$1;' failed
E/dalvikvm(  436): Could not find class 'cn.wps.moffice.common.beans.k$1', referenced from method cn.wps.moffice.common.beans.k.<init>
W/dalvikvm(  436): VFY: unable to resolve new-instance 1597 (Lcn/wps/moffice/common/beans/k$1;) in Lcn/wps/moffice/common/beans/k;
D/dalvikvm(  436): VFY: replacing opcode 0x22 at 0x0039
I/dalvikvm(  436): Failed resolving Lcn/wps/moffice/common/beans/k$3; interface 538 'Landroid/nfc/NfcAdapter$CreateBeamUrisCallback;'
W/dalvikvm(  436): Link of class 'Lcn/wps/moffice/common/beans/k$3;' failed
E/dalvikvm(  436): Could not find class 'cn.wps.moffice.common.beans.k$3', referenced from method cn.wps.moffice.common.beans.k.<init>
W/dalvikvm(  436): VFY: unable to resolve new-instance 1599 (Lcn/wps/moffice/common/beans/k$3;) in Lcn/wps/moffice/common/beans/k;
D/dalvikvm(  436): VFY: replacing opcode 0x22 at 0x0070
D/dalvikvm(  436): VFY: dead code 0x003b-005c in Lcn/wps/moffice/common/beans/k;.<init> (Landroid/app/Activity;)V
D/dalvikvm(  436): VFY: dead code 0x0072-0079 in Lcn/wps/moffice/common/beans/k;.<init> (Landroid/app/Activity;)V
D/water   (  436): packageName: cn.wps.moffice_eng
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GC_CONCURRENT freed 516K, 47% free 3605K/6727K, external 3121K/3694K, paused 3ms+3ms
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  436): GC_EXTERNAL_ALLOC freed 324K, 48% free 3572K/6791K, external 3121K/3694K, paused 50ms
D/dalvikvm(  436): GC_EXTERNAL_ALLOC freed 149K, 48% free 3593K/6855K, external 3545K/4295K, paused 48ms
I/ActivityManager(   61): Displayed cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager: +3s101ms (total +4s137ms)
D/inject  (  461): [+] The pid of cn.wps.moffice_eng: 436
D/inject  (  461): [+] Injecting process: 436
D/inject  (  461): [+] get_remote_addr: local[afd00000], remote[afd00000]
D/inject  (  461): [+] Remote mmap address: afd170cd
D/inject  (  461): [+] Calling mmap in target process.
D/inject  (  461): [+] Target process returned from mmap, return value=4555f000, pc=0 
D/inject  (  461): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  461): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  461): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  461): [+] Get imports: dlopen: b00059bd, dlsym: b0005915, dlclose: b0005849
D/inject  (  461): [+] Inject code start: c008, end: c084
D/inject  (  461): [+] _dlopen_param1_s: 45562c9c
D/inject  (  461): [+] _dlsym_param2_s: 45562d9c
D/inject  (  461): [+] _saved_r0_pc_s: 45562e9c
D/inject  (  461): [+] _inject_function_param_s: 45562f9c
D/inject  (  461): [+] Remote shellcode address: 45562c00
D/inject  (  461): [+] Process Detach: 10
D/inject  (  436): Hello ARM! I'm parameter1324! pid:436
D/inject  (  436): The Handle of libhook_open: b000d2b0
D/inject  (  436): find it pre 0
D/inject  (  436): find it 8060109c
D/inject  (  436): [+] aaaaaaa do_hook function is invoked 
D/inject  (  436): [+] open addr: 0xafd17111. New addr 0x80600f60
D/inject  (  436): [+] just for test 
D/inject  (  436): [+] set ok 
D/inject  (  436): [+] Get the persist.sys.test  bbbbbbbb
I/DEBUG   (  427): *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** ***
I/DEBUG   (  427): Build fingerprint: 'generic/sdk/generic:2.3.3/GRI34/101070:eng/test-keys'
I/DEBUG   (  427): pid: 436, tid: 436  >>> cn.wps.moffice_eng <<<
I/DEBUG   (  427): signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 00000000
I/DEBUG   (  427):  r0 afd17111  r1 80602988  r2 80602b20  r3 afd17111
I/DEBUG   (  427):  r4 80602988  r5 80600f60  r6 80602b18  r7 80604008
I/DEBUG   (  427):  r8 afd4d5c8  r9 00000000  10 00000000  fp 42de8bb8
I/DEBUG   (  427):  ip 00000010  sp 45562ad0  lr afd1a963  pc 806011d0  cpsr 00000010
I/DEBUG   (  427):          #00  pc 000011d0  /dev/libhook_open.so
I/DEBUG   (  427):          #01  pc 0000241c  /dev/libhello.so
I/DEBUG   (  427): 
I/DEBUG   (  427): code around pc:
I/DEBUG   (  427): 806011b0 e5973000 e28d0068 ebffff41 e5970000 
I/DEBUG   (  427): 806011c0 e59f20c0 e1a01004 e1a03000 e08f2002 
I/DEBUG   (  427): 806011d0 e58a0000 e3a00003 ebffff33 e59f00a8 
I/DEBUG   (  427): 806011e0 e28d1068 e08f0000 ebffff38 e3a0105c 
I/DEBUG   (  427): 806011f0 e1a02006 e1a03005 e28d0068 ebffff30 
I/DEBUG   (  427): 
I/DEBUG   (  427): code around lr:
I/DEBUG   (  427): afd1a940 f7ff980b 2800ff7d f001d001 9e0df883 
I/DEBUG   (  427): afd1a950 98059912 9312180b 2a019a09 f001d001 
I/DEBUG   (  427): afd1a960 3701f866 970f466b 33ff3320 21012000 
I/DEBUG   (  427): afd1a970 9e0f9609 70182700 9713424b 27009305 
I/DEBUG   (  427): afd1a980 99057833 e0003601 1c1a9213 2a5a3a20 
I/DEBUG   (  427): 
I/DEBUG   (  427): stack:
I/DEBUG   (  427):     45562a90  40000000  /dev/__properties__ (deleted)
I/DEBUG   (  427):     45562a94  40002424  /dev/__properties__ (deleted)
I/DEBUG   (  427):     45562a98  45562adc  
I/DEBUG   (  427):     45562a9c  40002420  /dev/__properties__ (deleted)
I/DEBUG   (  427):     45562aa0  00000000  
I/DEBUG   (  427):     45562aa4  45562adc  
I/DEBUG   (  427):     45562aa8  80602ae8  /dev/libhook_open.so
I/DEBUG   (  427):     45562aac  00000000  
I/DEBUG   (  427):     45562ab0  00000000  
I/DEBUG   (  427):     45562ab4  80602988  /dev/libhook_open.so
I/DEBUG   (  427):     45562ab8  45562acc  
I/DEBUG   (  427):     45562abc  80602988  /dev/libhook_open.so
I/DEBUG   (  427):     45562ac0  80602988  /dev/libhook_open.so
I/DEBUG   (  427):     45562ac4  806011bc  /dev/libhook_open.so
I/DEBUG   (  427):     45562ac8  df002777  
I/DEBUG   (  427):     45562acc  e3a070ad  
I/DEBUG   (  427): #00 45562ad0  80600f60  /dev/libhook_open.so
I/DEBUG   (  427):     45562ad4  80600e08  /dev/libhook_open.so
I/DEBUG   (  427):     45562ad8  00000015  
I/DEBUG   (  427):     45562adc  62626262  
I/DEBUG   (  427):     45562ae0  62626262  
I/DEBUG   (  427):     45562ae4  00000000  
I/DEBUG   (  427):     45562ae8  00000000  
I/DEBUG   (  427):     45562aec  00000000  
I/DEBUG   (  427):     45562af0  00000000  
I/DEBUG   (  427):     45562af4  00000000  
I/DEBUG   (  427):     45562af8  00000000  
I/DEBUG   (  427):     45562afc  00000000  
I/DEBUG   (  427):     45562b00  00000000  
I/DEBUG   (  427):     45562b04  00000000  
I/DEBUG   (  427):     45562b08  00000000  
I/DEBUG   (  427):     45562b0c  00000000  
I/DEBUG   (  427):     45562b10  00000000  
I/DEBUG   (  427):     45562b14  00000000  
I/DEBUG   (  427):     45562b18  00000000  
I/DEBUG   (  427):     45562b1c  00000000  
I/DEBUG   (  427):     45562b20  00000000  
I/DEBUG   (  427):     45562b24  00000000  
I/DEBUG   (  427):     45562b28  00000000  
I/DEBUG   (  427):     45562b2c  00000000  
I/DEBUG   (  427):     45562b30  00000000  
I/DEBUG   (  427):     45562b34  00000000  
I/DEBUG   (  427):     45562b38  39343932  
I/DEBUG   (  427):     45562b3c  37383337  
I/DEBUG   (  427):     45562b40  00003936  
I/DEBUG   (  427):     45562b44  00000000  
I/DEBUG   (  427):     45562b48  00000000  
I/DEBUG   (  427):     45562b4c  00000000  
I/DEBUG   (  427):     45562b50  00000000  
I/DEBUG   (  427):     45562b54  00000000  
I/DEBUG   (  427):     45562b58  00000000  
I/DEBUG   (  427):     45562b5c  00000000  
I/DEBUG   (  427):     45562b60  00000000  
I/DEBUG   (  427):     45562b64  00000000  
I/DEBUG   (  427):     45562b68  00000000  
I/DEBUG   (  427):     45562b6c  00000000  
I/DEBUG   (  427):     45562b70  00000000  
I/DEBUG   (  427):     45562b74  00000000  
I/DEBUG   (  427):     45562b78  00000000  
I/DEBUG   (  427):     45562b7c  00000000  
I/DEBUG   (  427):     45562b80  00000000  
I/DEBUG   (  427):     45562b84  00000000  
I/DEBUG   (  427):     45562b88  00000000  
I/DEBUG   (  427):     45562b8c  00000000  
I/DEBUG   (  427):     45562b90  00000000  
I/DEBUG   (  427):     45562b94  dea00048  
I/DEBUG   (  427):     45562b98  805041e0  /dev/libhello.so
I/DEBUG   (  427):     45562b9c  8060109c  /dev/libhook_open.so
I/DEBUG   (  427):     45562ba0  00000000  
I/DEBUG   (  427):     45562ba4  00000107  
I/DEBUG   (  427):     45562ba8  00001db4  
I/DEBUG   (  427):     45562bac  4214ce24  
I/DEBUG   (  427):     45562bb0  4214ce10  
I/DEBUG   (  427):     45562bb4  80502420  /dev/libhello.so
I/DEBUG   (  427): #01 45562bb8  000001b4  
I/DEBUG   (  427):     45562bbc  80500114  /dev/libhello.so
I/DEBUG   (  427):     45562bc0  00000000  
I/DEBUG   (  427):     45562bc4  000001b4  
I/DEBUG   (  427):     45562bc8  80502354  /dev/libhello.so
I/DEBUG   (  427):     45562bcc  80500000  /dev/libhello.so
I/DEBUG   (  427):     45562bd0  00002354  
I/DEBUG   (  427):     45562bd4  00000107  
I/DEBUG   (  427):     45562bd8  bef75450  
I/DEBUG   (  427):     45562bdc  b000d198  
I/DEBUG   (  427):     45562be0  00000003  
I/DEBUG   (  427):     45562be4  430f8fc9  /data/dalvik-cache/system@framework@framework.jar@classes.dex
I/DEBUG   (  427):     45562be8  00000107  
I/DEBUG   (  427):     45562bec  bef75450  
I/DEBUG   (  427):     45562bf0  4214ce24  
I/DEBUG   (  427):     45562bf4  4214ce10  
I/DEBUG   (  427):     45562bf8  42de8bb8  /data/dalvik-cache/system@framework@framework.jar@classes.dex
I/DEBUG   (  427):     45562bfc  45562c34  
I/BootReceiver(   61): Copying /data/tombstones/tombstone_04 to DropBox (SYSTEM_TOMBSTONE)
I/DEBUG   (  427): debuggerd committing suicide to free the zombie!
I/DEBUG   (  462): debuggerd: Feb  3 2011 14:45:34
D/dalvikvm(   61): GC_FOR_MALLOC freed 1032K, 49% free 4613K/8967K, external 3125K/3903K, paused 71ms
D/dalvikvm(   61): GC_FOR_MALLOC freed 761K, 49% free 4581K/8967K, external 3125K/3903K, paused 44ms
D/Zygote  (   33): Process 436 terminated by signal (11)
I/ActivityManager(   61): Process cn.wps.moffice_eng (pid 436) has died.
I/WindowManager(   61): WIN DEATH: Window{40719030 cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager paused=false}
W/InputManagerService(   61): Got RemoteException sending setActive(false) notification to pid 436 uid 10037
